 t1  t2  t3  t4  t5  t6  t7  t8
507 516 527 516 499 512 472 477
512 513 533 518 502 510 476 475
520 512 537 518 503 512 480 477
520 514 538 516 504 517 480 479
530 515 542 525 504 512 481 477
528 516 541 524 505 514 482 480
522 513 537 518 503 512 479 477
527 509 537 521 504 508 478 472
533 514 528 529 508 512 482 477
530 512 538 524 507 512 482 477
530 512 541 525 507 511 482 476
527 513 541 523 506 512 481 476
529 514 542 525 506 512 481 477
522 509 539 518 501 510 476 475
532 515 545 528 507 511 481 478
531 514 543 525 507 511 482 477
535 514 542 530 509 511 483 477
516 515 537 515 501 516 476 481
514 510 532 512 497 512 471 476
536 512 540 526 509 512 482 477
522 514 540 518 497 514 475 478
520 514 540 518 501 514 475 478
526 517 546 522 502 516 477 480
527 514 543 523 502 512 475 476
529 518 544 525 504 516 479 481
