sample x size trial
 1 21 100  TRUE
 2 24 100  TRUE
 3 16 100  TRUE
 4 12 100  TRUE
 5 15 100  TRUE
 6  5 100  TRUE
 7 28 100  TRUE
 8 20 100  TRUE
 9 31 100  TRUE
10 25 100  TRUE
11 20 100  TRUE
12 24 100  TRUE
13 16 100  TRUE
14 19 100  TRUE
15 10 100  TRUE
16 17 100  TRUE
17 13 100  TRUE
18 22 100  TRUE
19 18 100  TRUE
20 39 100  TRUE
21 30 100  TRUE
22 24 100  TRUE
23 16 100  TRUE
24 19 100  TRUE
25 17 100  TRUE
26 15 100  TRUE
27 16 100 FALSE
28 18 100 FALSE
29 12 100 FALSE
30 15 100 FALSE
31 24 100 FALSE
32 21 100 FALSE
33 28 100 FALSE
34 20 100 FALSE
35 25 100 FALSE
36 19 100 FALSE
37 18 100 FALSE
38 21 100 FALSE
39 16 100 FALSE
40 22 100 FALSE
41 19 100 FALSE
42 12 100 FALSE
43 14 100 FALSE
44  9 100 FALSE
45 16 100 FALSE
46 21 100 FALSE
