sample	D	size	trial
31	9	50	TRUE
32	6	50	TRUE
33	12	50	TRUE
34	5	50	TRUE
35	6	50	TRUE
36	4	50	TRUE
37	6	50	TRUE
38	3	50	TRUE
39	7	50	TRUE
40	6	50	TRUE
41	2	50	TRUE
42	4	50	TRUE
43	3	50	TRUE
44	6	50	TRUE
45	5	50	TRUE
46	4	50	TRUE
47	8	50	TRUE
48	5	50	TRUE
49	6	50	TRUE
50	7	50	TRUE
51	5	50	TRUE
52	6	50	TRUE
53	3	50	TRUE
54	5	50	TRUE
55	8	50	FALSE
56	7	50	FALSE
57	5	50	FALSE
58	6	50	FALSE
59	4	50	FALSE
60	5	50	FALSE
61	2	50	FALSE
62	3	50	FALSE
63	4	50	FALSE
64	7	50	FALSE
65	6	50	FALSE
66	5	50	FALSE
67	5	50	FALSE
68	3	50	FALSE
69	7	50	FALSE
70	9	50	FALSE
71	6	50	FALSE
72	10	50	FALSE
73	4	50	FALSE
74	3	50	FALSE
75	5	50	FALSE
76	8	50	FALSE
77	11	50	FALSE
78	9	50	FALSE
79	7	50	FALSE
80	3	50	FALSE
81	5	50	FALSE
82	2	50	FALSE
83	1	50	FALSE
84	4	50	FALSE
85	5	50	FALSE
86	3	50	FALSE
87	7	50	FALSE
88	6	50	FALSE
89	4	50	FALSE
90	4	50	FALSE
91	6	50	FALSE
92	8	50	FALSE
93	5	50	FALSE
94	6	50	FALSE
