diameter sample trial
74.030  1  TRUE
74.002  1  TRUE
74.019  1  TRUE
73.992  1  TRUE
74.008  1  TRUE
73.995  2  TRUE
73.992  2  TRUE
74.001  2  TRUE
74.011  2  TRUE
74.004  2  TRUE
73.988  3  TRUE
74.024  3  TRUE
74.021  3  TRUE
74.005  3  TRUE
74.002  3  TRUE
74.002  4  TRUE
73.996  4  TRUE
73.993  4  TRUE
74.015  4  TRUE
74.009  4  TRUE
73.992  5  TRUE
74.007  5  TRUE
74.015  5  TRUE
73.989  5  TRUE
74.014  5  TRUE
74.009  6  TRUE
73.994  6  TRUE
73.997  6  TRUE
73.985  6  TRUE
73.993  6  TRUE
73.995  7  TRUE
74.006  7  TRUE
73.994  7  TRUE
74.000  7  TRUE
74.005  7  TRUE
73.985  8  TRUE
74.003  8  TRUE
73.993  8  TRUE
74.015  8  TRUE
73.988  8  TRUE
74.008  9  TRUE
73.995  9  TRUE
74.009  9  TRUE
74.005  9  TRUE
74.004  9  TRUE
73.998 10  TRUE
74.000 10  TRUE
73.990 10  TRUE
74.007 10  TRUE
73.995 10  TRUE
73.994 11  TRUE
73.998 11  TRUE
73.994 11  TRUE
73.995 11  TRUE
73.990 11  TRUE
74.004 12  TRUE
74.000 12  TRUE
74.007 12  TRUE
74.000 12  TRUE
73.996 12  TRUE
73.983 13  TRUE
74.002 13  TRUE
73.998 13  TRUE
73.997 13  TRUE
74.012 13  TRUE
74.006 14  TRUE
73.967 14  TRUE
73.994 14  TRUE
74.000 14  TRUE
73.984 14  TRUE
74.012 15  TRUE
74.014 15  TRUE
73.998 15  TRUE
73.999 15  TRUE
74.007 15  TRUE
74.000 16  TRUE
73.984 16  TRUE
74.005 16  TRUE
73.998 16  TRUE
73.996 16  TRUE
73.994 17  TRUE
74.012 17  TRUE
73.986 17  TRUE
74.005 17  TRUE
74.007 17  TRUE
74.006 18  TRUE
74.010 18  TRUE
74.018 18  TRUE
74.003 18  TRUE
74.000 18  TRUE
73.984 19  TRUE
74.002 19  TRUE
74.003 19  TRUE
74.005 19  TRUE
73.997 19  TRUE
74.000 20  TRUE
74.010 20  TRUE
74.013 20  TRUE
74.020 20  TRUE
74.003 20  TRUE
73.988 21  TRUE
74.001 21  TRUE
74.009 21  TRUE
74.005 21  TRUE
73.996 21  TRUE
74.004 22  TRUE
73.999 22  TRUE
73.990 22  TRUE
74.006 22  TRUE
74.009 22  TRUE
74.010 23  TRUE
73.989 23  TRUE
73.990 23  TRUE
74.009 23  TRUE
74.014 23  TRUE
74.015 24  TRUE
74.008 24  TRUE
73.993 24  TRUE
74.000 24  TRUE
74.010 24  TRUE
73.982 25  TRUE
73.984 25  TRUE
73.995 25  TRUE
74.017 25  TRUE
74.013 25  TRUE
74.012 26 FALSE
74.015 26 FALSE
74.030 26 FALSE
73.986 26 FALSE
74.000 26 FALSE
73.995 27 FALSE
74.010 27 FALSE
73.990 27 FALSE
74.015 27 FALSE
74.001 27 FALSE
73.987 28 FALSE
73.999 28 FALSE
73.985 28 FALSE
74.000 28 FALSE
73.990 28 FALSE
74.008 29 FALSE
74.010 29 FALSE
74.003 29 FALSE
73.991 29 FALSE
74.006 29 FALSE
74.003 30 FALSE
74.000 30 FALSE
74.001 30 FALSE
73.986 30 FALSE
73.997 30 FALSE
73.994 31 FALSE
74.003 31 FALSE
74.015 31 FALSE
74.020 31 FALSE
74.004 31 FALSE
74.008 32 FALSE
74.002 32 FALSE
74.018 32 FALSE
73.995 32 FALSE
74.005 32 FALSE
74.001 33 FALSE
74.004 33 FALSE
73.990 33 FALSE
73.996 33 FALSE
73.998 33 FALSE
74.015 34 FALSE
74.000 34 FALSE
74.016 34 FALSE
74.025 34 FALSE
74.000 34 FALSE
74.030 35 FALSE
74.005 35 FALSE
74.000 35 FALSE
74.016 35 FALSE
74.012 35 FALSE
74.001 36 FALSE
73.990 36 FALSE
73.995 36 FALSE
74.010 36 FALSE
74.024 36 FALSE
74.015 37 FALSE
74.020 37 FALSE
74.024 37 FALSE
74.005 37 FALSE
74.019 37 FALSE
74.035 38 FALSE
74.010 38 FALSE
74.012 38 FALSE
74.015 38 FALSE
74.026 38 FALSE
74.017 39 FALSE
74.013 39 FALSE
74.036 39 FALSE
74.025 39 FALSE
74.026 39 FALSE
74.010 40 FALSE
74.005 40 FALSE
74.029 40 FALSE
74.000 40 FALSE
74.020 40 FALSE
