batch viscosity trial
    1     34.05  TRUE
    2     34.40  TRUE
    3     33.59  TRUE
    4     35.96  TRUE
    5     34.70  TRUE
    6     33.51  TRUE
    7     33.79  TRUE
    8     34.04  TRUE
    9     34.52  TRUE
   10     33.75  TRUE
   11     33.27  TRUE
   12     33.71  TRUE
   13     34.03  TRUE
   14     34.58  TRUE
   15     34.02  TRUE
   16     33.97  TRUE
   17     34.05  TRUE
   18     34.04  TRUE
   19     33.73  TRUE
   20     34.05  TRUE
   21     34.39 FALSE
   22     33.75 FALSE
   23     33.40 FALSE
   24     33.27 FALSE
   25     34.65 FALSE
   26     34.80 FALSE
   27     34.55 FALSE
   28     35.40 FALSE
   29     34.75 FALSE
   30     34.50 FALSE
   31     34.70 FALSE
   32     34.29 FALSE
   33     34.61 FALSE
   34     34.49 FALSE
   35     35.03 FALSE
